idfruta;nomefruta;kcal;kJ;Proteína;Lipídeos;Carboidratos;Fibra;Cálcio;Magnésio;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C;;;;;;;;
58;Limão, tahiti, cru;32;133;0,9;0,1;11,1;1,2;51;10;0,07;24;0,2;1;128;0,06;0,2;0,30;0,04;Tr;Tr;38,2;;;;;;;;
59;Maçã, Argentina, com casca, crua;63;262;0,2;0,2;16,6;2,0;3;5;0,01;11;0,1;1;117;0,03;Tr;0,05;Tr;Tr;Tr;1,5;;;;;;;;
60;Maçã, Fuji, com casca, crua;56;232;0,3;Tr;15,2;1,3;2;2;0,03;9;0,1;Tr;75;0,06;Tr;Tr;Tr;0,03;Tr;2,4;;;;;;;;
61;Macaúba, crua;404;1692;2,1;40,7;13,9;13,4;67;66;0,08;44;0,8;1;306;0,35;0,7;0,11;0,11;0,03;Tr;13,4;;;;;;;;
62; Mamão, doce em calda, drenado;196;819;0,2;0,1;54,0;1,3;20;6;0,02;4;0,1;3;68;0,02;0,1;0,03;Tr;Tr;Tr;3,9;;;;;;;;
63;Mamão, Formosa, cru;45;190;0,8;0,1;11,6;1,8;25;17;0,04;11;0,2;3;222;1,36;0,1;0,03;0,03;Tr;Tr;78,5;;;;;;;;
64;Mamão, Papaia, cru;40;168;0,5;0,1;10,4;1,0;22;22;0,01;11;0,2;2;126;0,02;0,1;0,03;0,04;Tr;1,03;82,2;;;;;;;;
65; Mamão verde, doce em calda, drenado;209;876;0,3;0,1;57,6;1,2;12;5;0,04;3;0,2;5;9;0,02;0,0;Tr;Tr;Tr;Tr;Tr;;;;;;;;
66;Manga, Haden, crua;64;266;0,4;0,3;16,7;1,6;12;8;0,17;9;0,1;1;148;0,10;0,1;0,02;0,06;0,05;Tr;17,4;;;;;;;;
67;Manga, Palmer, crua;72;303;0,4;0,2;19,4;1,6;12;9;0,05;14;0,1;2;157;0,09;0,1;0,09;0,03;Tr;Tr;65,5;;;;;;;;
68;Manga, polpa, congelada;48;202;0,4;0,2;12,5;1,1;7;9;0,12;9;0,1;7;131;0,06;0,1;Tr;0,07;0,03;Tr;24,9;;;;;;;;
69;Manga, Tommy Atkins, crua;51;212;0,9;0,2;12,8;2,1;8;7;0,34;14;0,1;Tr;138;0,06;0,1;Tr;0,04;0,03;Tr;7,9;;;;;;;;
70;Maracujá, cru;68;286;2,0;2,1;12,3;1,1;5;28;0,12;51;0,6;2;338;0,19;0,4;Tr;0,05;0,05;Tr;19,8;;;;;;;;
71;Maracujá, polpa, congelada;39;162;0,8;0,2;9,6;0,5;5;10;0,07;15;0,3;8;228;0,05;0,2;Tr;0,09;0,06;Tr;7,3;;;;;;;;
72;Maracujá, suco concentrado, envasado;42;176;0,8;0,2;9,6;0,4;4;4;0,07;14;0,3;22;201;0,05;0,1;Tr;0,08;0,05;1,92;13,7;;;;;;;;
73;Melancia, crua;33;136;0,9;Tr;8,1;0,1;8;10;0,14;12;0,2;Tr;104;0,04;0,1;Tr;Tr;Tr;Tr;6,1;;;;;;;;
74;Melão, cru;29;123;0,7;Tr;7,5;0,3;3;6;0,05;10;0,2;11;216;0,04;0,1;Tr;Tr;0,02;Tr;8,7;;;;;;;;
75;Mexerica, Murcote, crua;58;241;0,9;0,1;14,9;3,1;33;12;0,05;19;0,1;1;159;0,06;0,1;0,08;0,07;0,05;Tr;21,8;;;;;;;;
76;Mexerica, Rio, crua;37;154;0,7;0,1;9,3;2,7;17;8;0,05;14;0,1;2;125;0,07;0,2;0,03;Tr;Tr;Tr;112,0;;;;;;;;
77;Morango, cru;30;126;0,9;0,3;6,8;1,7;11;10;0,33;22;0,3;Tr;184;0,06;0,2;Tr;0,03;0,03;Tr;63,6;;;;;;;;
78;Nêspera, crua;43;178;0,3;Tr;11,5;3,0;20;10;0,07;10;0,1;Tr;113;0,12;0,1;Tr;Tr;Tr;Tr;3,2;;;;;;;;
79;Pequi, cru;205;858;2,3;18,0;13,0;19,0;32;30;0,64;34;0,3;Tr;298;0,21;1,0;0,17;0,48;0,06;2,57;8,3;;;;;;;;
80;Pêra, Park, crua;61;254;0,2;0,2;16,1;3,0;9;6;0,04;12;0,3;1;102;0,08;0,1;0,06;Tr;Tr;Tr;2,4;;;;;;;;
81;Pêra, Williams, crua;53;223;0,6;0,1;14,0;3,0;8;6;0,04;12;0,1;Tr;116;0,07;0,1;Tr;Tr;Tr;Tr;2,8;;;;;;;;
82;Pêssego, Aurora, cru;36;152;0,8;Tr;9,3;1,4;3;4;0,05;15;0,2;Tr;124;0,02;0,1;0,05;Tr;Tr;Tr;3,3;;;;;;;;
83;Pêssego, enlatado, em calda;63;264;0,7;Tr;16,9;1,0;4;4;0,03;9;0,6;3;95;0,04;0,1;Tr;Tr;Tr;Tr;Tr;;;;;;;;
84;Pinha, crua;88;370;1,5;0,3;22,4;3,4;21;31;0,15;34;0,2;1;283;0,11;0,2;0,12;0,04;0,09;Tr;35,9;;;;;;;;
85;Pitanga, crua;41;173;0,9;0,2;10,2;3,2;18;12;0,36;13;0,4;2;113;0,08;0,4;0,03;0,10;Tr;Tr;24,9;;;;;;;;
86;Pitanga, polpa, congelada;19;80;0,3;0,1;4,8;0,7;8;6;0,05;12;0,4;5;87;0,06;0,1;Tr;Tr;Tr;Tr;Tr;;;;;;;;
